SelCoeff FST TD_EAS TD_NAM
181 0.926060 -1.575620 -2.121281
58 0.041545 0.692365 -0.875962
66 0.114933 -0.557337 -1.274498
122 0.301267 -1.829342 0.229929
298 0.618142 -0.341434 -1.314739
193 0.148103 0.040647 -1.396675
293 0.211500 -0.387250 -1.706851
153 0.174904 2.562893 0.390313
213 0.120062 -1.107862 0.636584
205 0.389696 1.734227 -0.974802
186 0.137669 -2.086234 -0.856446
264 0.175608 1.881407 -0.462875
62 0.145162 0.057142 -0.184207
46 0.015921 -1.352421 0.196177
198 0.407921 -0.778218 -2.515493
124 0.088981 -2.142403 1.658058
203 0.385620 1.946476 -0.572958
297 0.644132 -1.095742 -0.650234
206 0.096657 -0.814543 -0.210025
5 0.243263 -0.464612 2.362832
21 0.243964 -0.301660 1.769626
37 0.118983 -0.603763 -0.239212
229 0.060303 -1.743239 0.971165
139 0.228602 -1.166106 -1.406237
127 0.576291 1.783849 -1.862172
223 0.601240 -1.013171 -0.133765
250 0.096444 -1.580923 -0.090005
69 0.110996 -0.999917 -0.374054
98 0.110905 -0.358296 -1.754188
238 0.304062 -1.914005 2.323565
98 0.042705 -0.820904 -1.081510
278 0.206752 0.004683 -0.529760
225 0.325292 -0.317090 0.047554
17 0.157983 0.575734 -0.400251
62 0.186437 -0.142913 0.529066
189 0.146342 -2.202553 -0.752344
214 0.226325 0.909125 2.677775
128 0.373504 0.877658 -1.740022
296 0.485755 0.323758 -2.146071
252 0.148932 -0.233861 -0.345773
250 0.091311 -1.271630 -1.363753
288 0.195004 -0.582166 1.771830
55 0.365835 -1.118725 -0.427459
217 0.218283 -0.874493 2.241474
170 0.226805 -0.399297 0.761602
173 0.255420 0.568970 -1.513626
203 0.386364 1.632398 -0.324707
123 0.066485 -1.170413 0.518364
22 0.180731 -0.121573 -0.442587
44 0.266722 -0.484175 0.248290
222 0.625355 -0.972012 -1.387304
281 0.214849 0.367134 0.130669
256 0.209761 -0.499119 -1.396738
224 0.253553 0.346429 1.857383
236 0.102544 -0.920266 -1.661018
23 0.132982 -0.678848 2.095943
157 0.133826 0.585733 1.603579
89 0.263527 1.875123 -2.543919
255 0.404637 -1.259933 -0.945029
113 0.030887 -1.444552 -0.912053
9 0.116003 -1.078488 -1.277680
253 0.088783 -1.473562 -1.930318
284 0.290103 -0.956470 -0.773330
50 0.022150 -0.325300 1.410757
252 0.174315 -0.048674 -1.144293
227 0.377674 -0.685395 -0.519393
37 0.130491 -1.025280 1.882778
146 0.106994 -0.641801 -1.011920
200 0.288775 -1.833913 0.820531
105 0.190283 0.648230 -0.321797
109 0.059484 1.911941 0.921920
105 0.234548 0.626615 0.359168
239 0.455809 1.208682 -0.862008
2 0.044711 -1.378310 -0.324816
67 -0.004807 1.304660 2.336025
261 0.651563 -0.049158 -0.160477
216 0.720892 1.982894 -0.841395
45 0.018871 1.332551 0.654773
217 0.190458 -1.289693 2.285226
145 0.111942 -0.809751 -0.154224
133 0.168043 -1.238684 -0.941297
43 0.117879 -0.566836 0.518523
94 0.028049 -1.030074 -0.015872
38 0.205331 -0.783056 -0.152941
64 0.171834 0.544634 -0.286236
180 0.589819 -1.095664 -1.053522
169 0.042152 -1.394019 -1.306798
87 0.115413 -1.162506 0.813284
290 0.051349 -1.579590 0.073290
85 0.107089 -1.491907 0.937908
89 0.260969 1.563631 -2.493082
102 0.032962 -0.191442 -1.063892
191 0.680867 -2.403023 0.636563
149 0.382826 -0.842796 -0.401446
158 0.066464 -0.286582 0.990869
19 0.162678 0.251623 -0.311357
141 0.272610 -0.819929 -0.510115
66 0.081303 -1.277501 -1.181204
152 0.208376 -1.730572 -0.784355
277 0.003825 -1.314004 1.239842
131 0.471464 -1.537945 -2.049053
124 0.102735 -2.113838 1.493122
70 0.333925 -2.307750 2.222459
166 0.474128 -0.833004 -1.771742
40 0.070243 -0.343360 2.104098
259 0.384632 1.382521 0.054678
73 0.164032 -0.079650 0.957204
22 0.161430 -1.042118 -0.318244
290 0.064754 -2.199706 0.108082
106 0.106932 0.212504 1.357041
220 0.551269 -0.303551 -0.186719
71 0.318246 -0.200303 2.107419
135 0.540899 1.887988 -0.088021
258 0.548490 -0.701540 0.336981
298 0.625145 -0.549071 -1.270949
33 0.116138 -0.613342 0.830666
183 0.410960 -0.218492 -1.493512
24 0.103107 1.611397 3.041048
118 0.101808 -1.069978 0.148123
101 0.224508 -0.931211 1.212827
11 0.100293 -0.287497 -1.593435
229 0.030783 -1.870134 2.015734
175 0.596122 1.219988 -0.498918
151 0.572545 -2.123354 0.693736
237 0.212340 -1.006660 -1.307855
229 0.041827 -1.174972 1.970641
196 0.201789 -0.862673 -0.872036
7 0.244105 0.054396 2.405314
242 0.059000 -1.743431 0.458389
170 0.227013 -0.078373 0.149943
272 0.193486 0.204973 -0.993353
33 0.091970 -0.919056 0.512920
296 0.470503 0.491195 -1.923362
244 0.263712 -1.913309 -1.547327
160 0.070429 -0.543723 1.316697
49 0.004102 -0.632182 1.348193
187 0.144719 -2.210177 -0.882362
204 -0.034489 -0.818530 0.575955
206 0.095348 -0.260277 0.134113
16 0.276392 0.001923 -1.481313
43 0.104069 0.689017 0.510410
87 0.125345 -1.123595 0.674563
103 0.134649 0.361626 0.705656
283 0.796900 -1.234675 -1.338352
42 0.174116 -1.691478 -0.085197
86 0.113471 -0.167515 0.549953
183 0.422423 0.110720 -1.421047
204 -0.035977 -0.481650 0.539754
207 0.341332 1.981943 -0.786051
47 0.197070 -0.141892 -0.176934
152 0.246684 -1.476538 -0.825356
179 0.151948 0.303857 0.860605
222 0.685989 -0.516741 -0.590855
47 0.210904 -0.656046 -0.109682
38 0.213724 -0.193451 -0.410729
14 0.071495 -0.331801 -1.165853
81 0.089966 -0.904618 -1.516267
256 0.206805 -0.452815 -1.609479
31 0.116570 -0.123635 0.659406
257 0.248074 0.133981 -0.960698
123 0.137339 0.551184 0.158639
246 0.225678 0.852115 1.861555
44 0.268520 -0.649626 1.466265
198 0.479590 -0.425739 -2.407971
121 0.230419 -0.417305 -2.166986
274 0.580974 0.283744 -0.033796
3 0.016134 -0.999773 0.075530
155 0.187753 2.915624 0.824491
46 0.027411 -1.342970 2.167425
200 0.326818 -1.647757 0.310569
143 0.077509 0.273956 -0.301902
263 0.289897 -0.028841 -2.150396
224 0.253500 0.830767 1.036269
21 0.201089 -1.177192 1.212093
143 0.082609 0.930717 -0.535408
38 0.206870 0.501131 -0.355570
133 0.179130 -0.865684 -1.648386
96 0.032755 -1.474661 0.357724
243 0.115312 -1.848874 -0.133996
142 0.107520 0.111180 -0.454697
75 0.113104 -0.193117 0.588254
125 0.103080 -0.652056 0.492926
291 0.137025 -0.506780 -0.971891
